Station	EVID	fcm	fcmerror	nvalue	gamma	QValue	omegaCorMain	omegaErrMain	WaveType
A16	201307112058	17.50	1.61	1.80	1.43	1500.00	4.3360e+01	1.610	S
A21	201307112058	9.10	0.75	3.00	2.00	1500.00	2.4125e+02	0.750	S
A61	201307112058	15.00	0.48	2.70	2.00	1500.00	2.6572e+02	0.480	S
A64	201307112058	10.90	0.46	2.00	2.00	1038.90	2.5778e+02	0.460	S
A16	201307112058	17.50	1.91	1.80	1.42	1500.00	4.3390e+01	1.910	S
A21	201307112058	9.10	0.78	3.00	2.00	1500.00	2.4250e+02	0.780	S
A61	201307112058	15.00	0.56	2.70	2.00	1500.00	2.6618e+02	0.560	S
A64	201307112058	11.40	0.52	2.00	2.00	764.00	2.6531e+02	0.520	S
A16	201307112058	17.50	1.92	1.80	1.42	1500.00	4.3390e+01	1.920	S
A21	201307112058	9.10	0.78	3.00	2.00	1500.00	2.4250e+02	0.780	S
A61	201307112058	16.00	0.51	2.90	2.00	1500.00	2.4441e+02	0.510	S
A64	201307112058	10.70	0.51	2.10	2.00	1500.00	2.4993e+02	0.510	S
A16	201307112058	17.50	1.92	1.80	1.42	1500.00	4.3390e+01	1.920	S
A21	201307112058	9.10	0.78	3.00	2.00	1500.00	2.4250e+02	0.780	S
A61	201307112058	16.00	0.51	2.90	2.00	1500.00	2.4441e+02	0.510	S
A64	201307112058	10.70	0.51	2.10	2.00	1500.00	2.4993e+02	0.510	S
A16	201307112058	17.50	1.91	1.80	1.42	1500.00	4.3390e+01	1.910	S
A21	201307112058	9.10	0.78	3.00	2.00	1500.00	2.4250e+02	0.780	S
A61	201307112058	16.00	0.51	2.90	2.00	1500.00	2.4441e+02	0.510	S
A64	201307112058	10.70	0.51	2.10	2.00	1500.00	2.4993e+02	0.510	S
